"","id","title","geography","geography_iso","document_types","sectors","events","documents","description"
"18",2039,"Law 26.639 on Minimum Standards for Preservation of Glaciers and Periglacial Environment","Argentina","ARG","Law","Water","28/10/2010|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ2dJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--6626b51d15168976a0ccc446cf2352b8936ceadf/f|","This <a href=""http://servicios.infoleg.gob.ar/infolegInternet/anexos/170000-174999/174117/norma.htm"">Law on minimum standards for preservation of glaciers</a> establishes minimum standards for protection of glaciers and periglacial environment, declares glaciers as public goods, and attributes responsibility for formulating a policy on climate change in line with the objective of preserving glaciers and periglacial environment to the highest positioned government body with environmental competence.<br />
The law also calls for creating the National Inventory of Glaciers (to be updated once in five years), listing all the glaciers and periglacial landforms that act as existing water reserves in the country with all the information necessary for proper protection, control and monitoring.<br />
The law prohibits any activities related to glaciers that may affect their natural condition or key functions, including the destruction or removal or interference with their progress (f<a href=""http://servicios.infoleg.gob.ar/infolegInternet/anexos/170000-174999/174117/norma.htm"">ull list in Art 6</a>). All other planned activities in glaciers and the periglacial environment are subject to a procedure of environmental impact assessment and strategic environmental assessment, as appropriate according to their scale, with exception of emergency rescue; scientific research (on foot or skis); sports, including mountaineering, rock climbing and non-motorised sports not disturbing the environment.<br />
Basic sanctions for breach of this law can consist of the following penalties: warning; a fine between 100 and 100,000 times the base salary for the first category of the national public administration; suspension or revocation of licenses (between 30 days and 1 year); or termination of activity. In case of recidivism, the minimum and maximum penalties may triple."
"19",8589,"Law no 27424 creating the Promotion Regime for Distributed Generation of Renewable Energy Integrated in the Public Electricity Grid","Argentina","ARG","Law","Energy","27/12/2017|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaW9HIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ef4717ccf77bf7ae85611830c1b74468cde6d8af/f|","This law is aimed at setting the policies and establish the legal and contractual conditions for the generation of electric power from renewable sources by users of the national grid, for self-consumption with eventual injection of surpluses to the network. The law also establish the obligation of the main energy providers to facilitate such injection, ensuring free access to the grid,<br />
<br />
The Regime creates a new electric market agent: the ""user-generator,"" which is the user of the energy distribution public service that installs the necessary equipment to generate renewable energy for self?consumption, and injects the excess in the public grid. This law repeals article 5 of law 25019 and replaces it by article 14 of law 26190."
"20",8722,"Law 25.080 for investments in cultivated forests","Argentina","ARG","Law","Industry;LULUCF","15/01/1999|Law passed||;12/12/2018|Amended||","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdFVGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--34f4f8ebcaa505a95b06b4b7ee230519533e9156/f|;Full text of law 27.487 (PDF)|https://faolex.fao.org/docs/pdf/arg182816.pdf|es","This law establishes a regime for the promotion of investments made in new forestry enterprises and in the extensions of existing forests. It aims at enabling entities to benefit from the installation of new forestry-industrial projects and the extensions of existing ones, as long as the wood supply is increased through the implantation of new forests. These benefits must be related to the investments actually made in the implementation. The activities included in the regime instituted by this law are: the implementation of forests, their maintenance, management, irrigation, protection and harvesting, including research and development activities, as well as those of industrialisation of wood, when all of them are part of an integrated forest or forestry-industrial enterprise (art. 3). The <a href=""https://www.argentina.gob.ar/forestar-2030"">ForestAR Strategy 2030</a> of 2018 is based on this law."
"22",9017,"Law No. 26,509 creating the National System for the Prevention and Mitigation of Agricultural Emergencies and Disasters","Argentina","ARG","Law","Agriculture","25/12/2009|Law passed","Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc0lFIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--1266851c587c889103a2585dbbc97534cc16027c/f|","This act requires the Ministry of Agriculture, Livestock, Fisheries and Food to establish a National System for the Prevention and Mitigation of Agricultural Emergencies and Disasters to prevent and mitigate disasters that affect the agricultural sector. It also outlines government competencies for allocating human and financial resources to disaster response efforts and coordinating disaster response at the subnational and local levels. Moreover, it creates the National Fund for the Mitigation of Agricultural Emergencies and Disasters to finance disaster prevention and response activities."
"23",9019,"Law No. 12,307 creating the Bicameral Commission for the attention and monitoring of natural disasters","Argentina","ARG","Law","Water","25/12/1999|Law passed","Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc1FFIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--62e1b3586f61454892f5a801681eb9e90a226772/f|","This law creates the Bicameral Commission for the Attention and Monitoring of Natural Disasters caused by Water and/or Climatic Emergencies to propose a regulatory system for water and climate emergencies."
"24",9402,"Law 27520 on Minimum Budgets for Adaptation and Mitigation to Global Climate Change","Argentina","ARG","Law;Act","Economy-wide","18/12/2019|Law published||","Link to official website|https://www.boletinoficial.gob.ar/detalleAviso/primera/224006/20191220|es","This law establishes the minimum budgets for environmental protection to guarantee adequate actions, instruments and strategies for Adaptation and Mitigation to Climate Change. The act aims to establish strategies, measures, policies and instruments related to the study of impact, vulnerability and adaptation activities to Climate Change that can guarantee human and ecosystem development; assist and promote the development of mitigation and reduction strategies for greenhouse gases in the country, among others.<br><br>In addition, it creates the National Cabinet of Climate Change, which will be chaired by the Chief of the Cabinet of Ministers, and whose function will be to articulate between the different areas of government of the National Public Administration, the implementation of the National Plan for Adaptation and Mitigation to Climate Change , and of all those public policies related to the application of the provisions established in the law and its complementary norms.<br><br>The different areas of government must apply, within their respective powers, the resolutions and / or actions that are established within the National Cabinet on Climate Change, and report on the progress and modifications of each project.<br><br>The set of strategies, measures, policies, and instruments developed to comply with the object of this law make up the ""National Plan for Adaptation and Mitigation of Climate Change"", which will be prepared by the Executive Branch. This plan will have, among others, the projection of State policies regarding adaptation and mitigation to climate change for present and future generations; the development of methods and tools to assess impacts and vulnerability, and allow adaptation to climate change in the different socioeconomic sectors and environmental systems of the country.<br><br></div><div><br>"
"25",10656,"Tax Reform Act nr. 27.430","Argentina","ARG","Act","Energy","29/12/2017|Date Act passed||;01/01/2018|Date Act entered into force||","Text of the Act|https://www.boletinoficial.gob.ar/detalleAviso/primera/176831/20171229|es;Text of the proposed bill|https://www.oecd.org/countries/argentina/taxing-energy-use-argentina.pdf|es","In 2017, Argentina introduced the Tax Reform Act n. 27.430 which reformed the country's taxation system relating to energy use. The Act also introduced a Carbon Tax on fossil fuels (Article 10 of the Act), in effect since March 2018, of $10 USD per tCO2e according to OECD <a href=""https://www.oecd.org/countries/argentina/taxing-energy-use-argentina.pdf"">reports</a>.&nbsp; The Carbon Dioxide Tax replaces Chapter rII of Title III of Law 23.966 from 1998. According to the Act, the taxation rates will be updated each year based on variations in the Consumer Price Index (CPI) and the executive branch may&nbsp; increase the taxation rates on liquid fuels by 25%,&nbsp; in accordance with environmental or energy policy considerations. GhG emissions generated by industrial processes, livestock, waste disposal and land use changes are exempted from the carbon tax. Biofuels are also exempted from taxation.&nbsp;"
"26",11115,"Law 27.424 instituting the regime to promote the distributed generation of renewable energy integrated into the public electricity network","Argentina","ARG","Law","Energy","30/11/2017|Approved||","Full text (PDF)|https://faolex.fao.org/docs/pdf/arg172206.pdf|es","The purpose of this law is to establish the policies and establish the legal and contractual conditions for the generation of electrical energy of renewable origin by users of the distribution network, for their self-consumption, with eventual injection of surpluses into the network, and to establish the obligation of public distribution service providers to facilitate said injection, ensuring free access to the distribution network, without prejudice to the powers of the provinces."
"27",11116,"Law no 22520 on the responsibilities of ministries","Argentina","ARG","Law","Public Sector","28/09/2020|Approved||","Full text (PDF)|https://faolex.fao.org/docs/pdf/arg208366.pdf|es","Art 23 of this law sets the responsibilities of the ministry for the environment and sustainable development. This includes a number of climate-related functions (13.12, 13.15, 13.16)."
"28",11118,"Yolanda law (no 27592)","Argentina","ARG","Law","Public Sector","27/11/2020|Approved||","Full text on external website (PDF)|https://faolex.fao.org/docs/pdf/arg205139.pdf|es","The purpose of this Law is to guarantee comprehensive training in the environment, with a sustainable development perspective and with special emphasis on climate change for people who work in public office. For this purpose, it establishes mandatory training on environmental issues, in accordance with the general guidelines that the enforcement authority will establish. The main objective of the ""Yolanda Law"" is that public officials and employees understand the transversality of environmental issues in the design, planning and implementation of public policies to contribute, from state management, to the construction of an environmentally sustainable Argentina.<br><br>The law's applicability was set in <a href=""https://faolex.fao.org/docs/pdf/arg206533.pdf"">disposition 12/2021</a>.&nbsp;"
"29",11119,"Law no 27.640 setting the regulatory framework for biofuels","Argentina","ARG","Law","Energy","15/07/2021|Approved||","Full text on external website (PDF)|https://faolex.fao.org/docs/pdf/arg205417.pdf|es","This law sets the regulatory framework for liquid biofuels in the country."
"42",8483,"Forestry Act 2010 and Forestry Regulations 2014","Bahamas, The","BHS","Law","Environment;LULUCF;Transport","01/07/2010|Law passed;25/12/2014|Law amended","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbDRHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--0376a4be390e780b85fbad5cf3ee15f628a3f547/f|","The Forestry Act was enacted by the Bahamian Parliament in 2010 to provide the conservation and control of forests. It establishes a Forestry Unit under the authority of the Ministry of the Environment and Housing to regulate activities such as wood exploitation, to declare and manage forest reserves, and monitor protected trees. Reserves should be declared according to environmental conservation objectives, in particular to protect wildlife and prevent fires. The Act also regulates activities held on privately-held lands. Every five year, a Forest Management Plans must be developed.<br />
<br />
In 2014, Forestry Regulations updated and precise the applicability of the original Act, notably in order to include carbon sequestration and reforestation within the possible objectives of Forest Management Plans. Private land-owners are equally encouraged to prepare such plans. Forest roads cannot be used as public highways unless a special governmental authorisation is priorly issued. The Regulations require that 20% of the land cover shall be designated into either a forest reserve, a protected forest or a conservation forest."
"43",8484,"Electricity Act, 2015","Bahamas, The","BHS","Law","Buildings;Energy","30/12/2015|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbHdHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8a39995e27143d7b96162edd0b028289beaf951e/f|","The Bahamian Parliament enacted the Electricity Act 2015 in order to overhaul the country's energy sector and edict policy targets, among others: 1) security and diversification of power supply and distribution, 2) access to cheap and reliable environmentally sustainable electricity, 3) and the establishment of the Utilities Regulations and Competition Authority (URCA) as the independent regulator of the sector.<br />
<br />
The Act encourages a higher capacity of renewables electricity generation under a number of ways. It seeks a reorganisation of the electricity sector, so that public suppliers shall increase the proportion of renewables in their generation mix. Suppliers shall submit a time-bound plan to URCA over their specific renewables objectives, and revise this plan every three year. Eventual additional energy needs should be met in priority by new renewables capacity.<br />
<br />
The Act also promotes residential renewable energy generation for connection to the grid, and for self-generation. All stages are also regulated by URCA, and households need a grid interconnection agreement to operate. URCA shall maintain public a list of entities granted approval. The document further highlights the need to encourage energy efficiency in the generation, distribution and consumption of electricity.<br />
<br />"
"44",10874,"Climate Change and Carbon Market Initiatives Act, 2022","Bahamas, The","BHS","Act","Coastal zones;Economy-wide;Environment;Finance;Water","20/05/2022|Enacted by parliament||;07/07/2022|Into operation||","Climate Change and Carbon Market Initiatives Act, 2022|https://opm.gov.bs/wp-content/uploads/2022/04/Climate-Change-and-Carbon-Market-Initiatives-Bill-2022-19-April-2022.pdf|en","The objectives of this Act are threefold:<br>1. To enable the Government to create incentives and implement initiatives to support the overall global target of greenhouse gas emissions reduction consistent with its Nationally Determined Contributions;<br>2. To ensure compliance by The Bahamas of its obligations under the Paris Agreement;<br>3. to enable the establishment of a market in The Bahamas to trade in carbon credits.<br><br>This Act applies to carbon credits in respect of land and airspace of The Bahamas, including its internal waters, territorial waters and exclusive economic zone; the seabed and subsoil underlying these waters; its continental, coastal and marine ecosystems and related water; and its forests.&nbsp;<br><br>Part II sets out the administration of the Act. The responsibility for the administration of the Act is distributed, with distinct responsibilities, between the Prime Minister, the Minister of Finance, and the Minister for Environment. This part sets out the appointment and functions of management companies, as well as the appointment and functions of an Advisory Council. &nbsp;<br>&nbsp;<br>Part III outlines the fundamental principles governing trade in carbon markets. Mentioned are:</div><ul><li>Additionality, measurability, permanence, etc.;</li><li>Prohibition against double counting;</li><li>Verification and validation;</li><li>Provision of social and environmental benefits;</li><li>Share of proceeds and cancellation rates.</li><li>Minister may make regulations to further the fundamental principles governing trade in carbon markets.</li></ul><div><br>Part IV delineated the obligations of the Bahamas under the Paris Agreement.&nbsp;</div><div><br>Part V concerns the creation and implementation of initiatives to reduce emissions, which the Prime Minister may undertake to comply with the Paris Agreement.<br><br>Part VI provides an overview for the options for participation in the carbon market in The Bahamas. There are three:<br>1. Bilateral or multilateral trading agreement;<br>2. As a result of trading with a private entity;<br>3. In a voluntary carbon market.<br><br>Part VII establishes a National Emissions Registry.<br><br>Part VIII concerns miscellaneous."
"45",10979,"Environmental Planning and Protection Act, 2019","Bahamas, The","BHS","Act","Environment","19/12/2019|assent||;20/12/2019|entered into force||","Full text (PDF)|http://laws.bahamas.gov.bs/cms/images/LEGISLATION/PRINCIPAL/2019/2019-0040/EnvironmentalPlanningandProtectionAct2019_1.pdf|en","This Act consists of 9 parts:</div><ul><li>Part I - Preliminary</li><li>Part II - Administration</li><li>Part III - Environmental Plans and Policies</li><li>Part IV - Environmental Protection</li><li>Part V - Spills, Accidental Releases and Environmental Restoration</li><li>Part VI - Environmental Information, Research, Education and Training</li><li>Part VII - Compliance and Enforcement</li><li>Part VIII - Offences and Penalties</li><li>Part IX - Miscellaneous</li></ul><div><br>The objects of the Act are set out in section 3 (part I). Notably, one of the objects is to develop a robust climate change regime that applies adaptation and mitigation technologies to address vulnerabilities.&nbsp;<br><br>Section 5 establishes the Department of Environmental Planning and Protection (part II).&nbsp; Section 38 (part vi) establishes an Environmental Registry.&nbsp;<br>&nbsp;"
"46",1053,"Sustainable and Renewable Energy Development Authority Act","Bangladesh","BGD","Law","Buildings;Energy","10/12/2012|Law passed||","Full text (PDF)|http://www.dpp.gov.bd/upload_file/gazettes/10720_39500.pdf|","This act, predicated on the aim of increasing energy security, creates an independent authority, the Sustainable and Renewable Energy Development Authority, to promote the development and use of renewable energy. The act specifies 23 responsibilities of the authority, including to:<br>&nbsp;- Encourage the use of power and energy efficient equipment and take necessary steps for standardisation and labelling of power and energy using equipment and appliances<br>&nbsp;- Assist the government in making and implementation of energy efficient building code<br>&nbsp;- Provide technical and financial assistance in research, development, demonstration and training on renewable energy<br>&nbsp;- Encourage commercialisation of renewable energy and energy efficiency activities in private sector through implementation of pilot project"
"49",1059,"The Bangladesh Energy Regulatory Commission (BERC) Act 2003","Bangladesh","BGD","Law","Energy","24/07/2003|Law passed;25/12/2010|Last amended","full text (pdf)|http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/laws/1059.pdf|en;2010 amendment (pdf)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbkVLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--a2d37f2fefcb06a5dbf3f4f81c6ab7e19def00e5/1059Amendment2010.pdf|bn","The Act makes provisions for the establishment of an independent and impartial regulatory commission for the energy sector. The commission is, inter alia, to determine the energy efficiency of institutions regulated under the Act, and to monitor and verify institutions' energy use through energy audits. It is also required to ensure the efficient use of energy at a generation, transmission and distribution level."
