Id,Title,Type,Geography,Geography ISO,Frameworks,Responses,Instruments,Document Types,Natural Hazards,Keywords,Sectors,Events,Documents,Parent Legislation,Description
8480,Renewable Energy Act,legislative,Antigua and Barbuda,ATG,"",Mitigation,"Capacity building|Governance;Processes, plans and strategies|Governance",Law,"",Institutions / Administrative Arrangements;Energy Supply;Redd+ And Lulucf,Energy,23/04/2015|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbUVHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--fe33fe1ae8c7c0e45844a43b70d5d2648ee10436/f|,,"The Renewable Energy Act of 2015 establishes legal, economic and institutional basis to promote the installation and use of renewable energy and corresponding electricity grid. Renewable sources considered are wind, solar, hydropower, biomass, geothermal and tidal. The Act plans that the Government will regularly set out middle and long-term renewable energy targets. The appropriate minister will work in accordance with public utilities and the responsible network utility to establish regulations promoting renewable energy and define eligibility for a Feed In Tariff scheme.<br />
<br />
The Act also establishes a Renewable Energy Fund to enable its objectives, and finance it via the National Development Fund. Projects that will receive subsidies will have to be approved by the Cabinet, and include research and development programmes. General incentives are further set out to decrease the installation and operative costs."
1024,Law 26473 Prohibiting commercialisation of incandescent light bulbs,legislative,Argentina,ARG,"",Mitigation,"Standards, obligations and norms|Regulation",Law,"",Energy Demand,Buildings,31/12/2010|Law passed,,,"Prohibits the importation and commercialisation of incandescent light bulbs for residential<br />
use throughout the country."
1027,Law 26.093 (2006) Regimen of Regulation and Promotion of the Production and Sustainable Use of Biofuels,legislative,Argentina,ARG,"",Mitigation,"",Law,"",Research And Development;Energy Supply;Energy Demand;Transport,"",12/05/2006|Law passed;01/01/2010|Enactment of specific provisions,,,"The object of the law is to provide a regulatory framework for the production and promotion of biofuels. The law creates and defines the authority of a federal regulatory entity, The National Advisory Commission for the Promotion of the Production and Sustainable Use of Biofuels, delineates the chemical definitions of biodiesel and bioethanol and provides direction for the issuing of subsidies and tax reductions. The Commission also has the charge of facili-tating technology transfer, especially between small and medium sized firms who are beneficiaries of the law.<br />
<br />
Four years after enactment (by 2010) all gasoline produced and consumed in Argentina must be composed of no less than 5% biofuels.<br />
<br />
The regulations enacted and the Commission will be valid for a period of 15 years from the Date; however, the Executive Branch will have the authority to extend the law based on pre-existing tax law."
1028,Law 26.123 (2006) Promotion of Hydrogen Energy,legislative,Argentina,ARG,"",Mitigation,"",Law,"",Institutions / Administrative Arrangements;Research And Development;Energy Supply,Energy;Industry,25/08/2006|Law passed,,,"The law declares the technological development, the production of, and the use of hydrogen fuel, as well as other alternative energy sources, a matter of national interest.<br />
<br />
The executive power will determine the federal organisation responsible for developing a National Programme for Hydrogen, which will have among its objectives: develop and strengthen the technological and scientific research into alternative energy sources; incen-tivise the application of hydrogen energy technology; incentivise the participation of the private sector in the generation and production of hydrogen energy where it strengthens the national industry; promote the regional co-operation and technology transfer between MERCOSUR member-countries; develop a plan to educate the general public about the necessity to diminish contamination of the national environment and the importance of alternative energy use; incentivise the industrialisation of hydrogen fuel cells; and promote links between state entities, university research centres and private industry in the interest of a national industry of hydrogen energy.<br />
<br />
The objectives will be realised primarily through the creation of The National Fund of Hydrogen Promotion (FONHIDRO), which will depend on the national fiscal budget and which will also oversee various tax exemptions and deductions for participating firms."
1030,Law 25.019 Declaring a national interest to generate electricity from wind and solar energy,legislative,Argentina,ARG,"",Mitigation,Provision of climate funds|Direct Investment;Capacity building|Governance,Law,"",Research And Development;Energy Supply,Energy,19/10/1998|Law passed,,,This law is an early precursor to 2010 legislation promoting renewable energy. It declares wind and solar power a national interest and created the Renewable Energy Fund to encourage production.
2007,Law 26.190 Regime for the National Promotion for the Production and Use of Renewable Sources of Electric Energy,legislative,Argentina,ARG,"",Mitigation,"Standards, obligations and norms|Regulation;Tax incentives|Economic;Processes, plans and strategies|Governance",Law,"",Research And Development;Energy Supply,Energy,02/01/2007|Law passed||;15/10/2015|Amended by law 27191||;03/08/2021|Amended by resolution 742/2021||,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaUFJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--54965c8a86b93863b75bd0c9dafd230d26974a5d/f|es;Full text - official document|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdGNLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--34d2e8e4f4d64d5a415ef712cad18ab7e79a0665/2007%20(2).pdf|es;Link to resolution 531/2016|https://www.argentina.gob.ar/normativa/nacional/decreto-531-2016-259883|es,,"The Law, as updated in October 2015, builds on the concept of production of electricity from renewable energy sources as a matter of national interest. It requires that by 31 December 2017, 8% of all electricity consumed nationally must be generated from renewable energy sources. The law directs the executive power to co-ordinate a Federal Programme for the Development of Renewable Energy and creates a fund to finance renewable energy projects, including through feed-in tariff. Private firms who are recognised as beneficiaries of the Programme and/or the Fund will enjoy a series of tax benefits, expanded in 2015 (decrease of VAT through exemption on import duties, accelerated amortization of Income Tax, fiscal certificates, etc.). The 2015 update also enlarges the list of 'renewable sources' to include wave energy, ocean currents energy and biofuels, and it expands the support of the Programme and Fund to hydropower plants with capacity up to 50 MW (up from original 30 MW).<br><br>This law was amended several times, notably by law 27191 and by a number of resolutions including <a href=""https://www.argentina.gob.ar/normativa/nacional/resolución-285-2018-311549/actualizacion"">resolution 285/2018</a> and <a href=""https://www.argentina.gob.ar/normativa/nacional/resolución-742-2021-352574"">resolution 742/2021</a>.<br><br>The market regime for the production of renewable energy is regulated by <a href=""https://www.argentina.gob.ar/normativa/nacional/resolución-281-2017-278429"">resolution 281/2017 </a>and amending <a href=""https://www.boletinoficial.gob.ar/detalleAviso/primera/245706/20210616"">resolution 551/2021</a>.&nbsp;"
2008,Law 27191 on Renewable Energy,legislative,Argentina,ARG,"",Mitigation,Tax incentives|Economic;Provision of climate funds|Direct Investment,Law,"",Energy Supply;Energy Demand,Energy,15/10/2015|Law passed,Full text |https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaDhJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--60f7eef4bcbe53d7ecb81be2309e2adf5c01e2f3/f|es;Full text - original version|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdGdLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--0714e2aae7f870680c357364a997ba54a63b5ef7/2008%20(2).pdf|es,,"The Law builds on and updates the Regimen for the National Promotion for the Production and Use of Renewable Sources of Electric Energy established by the <a href=""http://www.lse.ac.uk/GranthamInstitute/law/law-26-190-regimen-for-the-national-promotion-for-the-production-and-use-of-renewable-sources-of-electric-energy-2/"">Law 26.190</a>, and extends the regimen for the period 2018-2025. It sets national renewable energy targets, establishes a fund for financing renewable energy projects, and defines minimum renewable requirements for large consumers.<br> The law sets the following national targets for renewable energy:<br>&nbsp;<br><br></div><div><br><br></div><ol><li>By 31 December 2017, minimum of 8% of total electricity consumed comes from renewable sources.</li></ol><div><br><br></div><ol><li>By 31 December 2019, minimum of 12% of total electricity consumed comes from renewable sources.</li></ol><div><br><br></div><ol><li>By 31 December 2021, minimum of 16% of total electricity consumed comes from renewable sources.</li></ol><div><br><br></div><ol><li>By 31 December 2023, minimum of 18% of total electricity consumed comes from renewable sources.</li></ol><div><br><br></div><ol><li>By 31 December 2025, minimum of 20% of total electricity consumed comes from renewable sources.</li></ol><div><br><br></div><div><br>&nbsp;The law creates a new Fund for the Development of Renewable Energies (FODER), which is to be funded, among others, through the National Treasury with minimum 50% of the savings from shifting from fossil fuels to renewables, estimated at about US$41 billion by 2025.<br>&nbsp;The law also establishes special obligation for large energy users (power demand exceeds 300 kW) to achieve the above-mentioned targets individually, under a threat of penalty. Their renewable energy might be produced on site or purchased through contracts, whose price is capped by the Law at maximum US$113/MWh or its equivalent in the national currency. This price can be modified for new contracts after two years from the entry into force of the law takes effect if required by market conditions."
2039,Law 26.639 on Minimum Standards for Preservation of Glaciers and Periglacial Environment,legislative,Argentina,ARG,"",Adaptation,"Subsidies|Economic;Tax incentives|Economic;Education, training and knowledge dissemination|Information",Law,"",Adaptation;Research And Development;Redd+ And Lulucf,Water,28/10/2010|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ2dJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--6626b51d15168976a0ccc446cf2352b8936ceadf/f|,,"This <a href=""http://servicios.infoleg.gob.ar/infolegInternet/anexos/170000-174999/174117/norma.htm"">Law on minimum standards for preservation of glaciers</a> establishes minimum standards for protection of glaciers and periglacial environment, declares glaciers as public goods, and attributes responsibility for formulating a policy on climate change in line with the objective of preserving glaciers and periglacial environment to the highest positioned government body with environmental competence.<br />
The law also calls for creating the National Inventory of Glaciers (to be updated once in five years), listing all the glaciers and periglacial landforms that act as existing water reserves in the country with all the information necessary for proper protection, control and monitoring.<br />
The law prohibits any activities related to glaciers that may affect their natural condition or key functions, including the destruction or removal or interference with their progress (f<a href=""http://servicios.infoleg.gob.ar/infolegInternet/anexos/170000-174999/174117/norma.htm"">ull list in Art 6</a>). All other planned activities in glaciers and the periglacial environment are subject to a procedure of environmental impact assessment and strategic environmental assessment, as appropriate according to their scale, with exception of emergency rescue; scientific research (on foot or skis); sports, including mountaineering, rock climbing and non-motorised sports not disturbing the environment.<br />
Basic sanctions for breach of this law can consist of the following penalties: warning; a fine between 100 and 100,000 times the base salary for the first category of the national public administration; suspension or revocation of licenses (between 30 days and 1 year); or termination of activity. In case of recidivism, the minimum and maximum penalties may triple."
8589,Law no 27424 creating the Promotion Regime for Distributed Generation of Renewable Energy Integrated in the Public Electricity Grid,legislative,Argentina,ARG,"",Mitigation,"Standards, obligations and norms|Regulation;Processes, plans and strategies|Governance",Law,"",Institutions / Administrative Arrangements;Energy Supply;Energy Demand,Energy,27/12/2017|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaW9HIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ef4717ccf77bf7ae85611830c1b74468cde6d8af/f|,,"This law is aimed at setting the policies and establish the legal and contractual conditions for the generation of electric power from renewable sources by users of the national grid, for self-consumption with eventual injection of surpluses to the network. The law also establish the obligation of the main energy providers to facilitate such injection, ensuring free access to the grid,<br />
<br />
The Regime creates a new electric market agent: the ""user-generator,"" which is the user of the energy distribution public service that installs the necessary equipment to generate renewable energy for self?consumption, and injects the excess in the public grid. This law repeals article 5 of law 25019 and replaces it by article 14 of law 26190."
8722,Law 25.080 for investments in cultivated forests,legislative,Argentina,ARG,"",Mitigation,"Capacity building|Governance;Processes, plans and strategies|Governance",Law,"",Energy Supply;Redd+ And Lulucf,Industry;LULUCF,15/01/1999|Law passed||;12/12/2018|Amended||,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdFVGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--34f4f8ebcaa505a95b06b4b7ee230519533e9156/f|;Full text of law 27.487 (PDF)|https://faolex.fao.org/docs/pdf/arg182816.pdf|es,,"This law establishes a regime for the promotion of investments made in new forestry enterprises and in the extensions of existing forests. It aims at enabling entities to benefit from the installation of new forestry-industrial projects and the extensions of existing ones, as long as the wood supply is increased through the implantation of new forests. These benefits must be related to the investments actually made in the implementation. The activities included in the regime instituted by this law are: the implementation of forests, their maintenance, management, irrigation, protection and harvesting, including research and development activities, as well as those of industrialisation of wood, when all of them are part of an integrated forest or forestry-industrial enterprise (art. 3). The <a href=""https://www.argentina.gob.ar/forestar-2030"">ForestAR Strategy 2030</a> of 2018 is based on this law."
9015,Law No. 27.287 - National System for Integral Risk Management and Civil Protection,legislative,Argentina,ARG,"",Adaptation;Disaster Risk Management,"",Law,"",Adaptation;Institutions / Administrative Arrangements;Research And Development;Disaster Risk Management,"",25/12/2016|Law passed||,Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc01FIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--204aa834d3af6e9a1016fb71d242e79faad90f1d/f|,,"This act outlines the overall contours of the National System for Integral Risk Management and Civil Protection to design, propose, and implement disaster risk management policies. It also designates the National Council for Integral Risk Management and Civil Protection as the highest authority for disaster risk management matters in the country. In addition to its regulatory and public policy functions, this act requires the Council to create a National Information Center on Comprehensive Risk Management to promote scientific research and to conduct a public awareness campaign about disaster risk management. This act also contains specific budgetary provisions, establishing the National Fund for Integral Risk Management to finance prevention activities (funds to come from national budget), and the National Emergency Fund to finance emergency response (funds to come from voluntary contributions of national, subnational, and local governments, donations, income tax, sovereign loans, and any other source assigned to it)."
9017,"Law No. 26,509 creating the National System for the Prevention and Mitigation of Agricultural Emergencies and Disasters",legislative,Argentina,ARG,"",Adaptation;Disaster Risk Management,"",Law,"",Adaptation;Institutions / Administrative Arrangements;Research And Development;Disaster Risk Management,Agriculture,25/12/2009|Law passed,Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc0lFIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--1266851c587c889103a2585dbbc97534cc16027c/f|,,"This act requires the Ministry of Agriculture, Livestock, Fisheries and Food to establish a National System for the Prevention and Mitigation of Agricultural Emergencies and Disasters to prevent and mitigate disasters that affect the agricultural sector. It also outlines government competencies for allocating human and financial resources to disaster response efforts and coordinating disaster response at the subnational and local levels. Moreover, it creates the National Fund for the Mitigation of Agricultural Emergencies and Disasters to finance disaster prevention and response activities."
9019,"Law No. 12,307 creating the Bicameral Commission for the attention and monitoring of natural disasters",legislative,Argentina,ARG,"",Adaptation;Disaster Risk Management,"",Law,"",Adaptation;Institutions / Administrative Arrangements;Disaster Risk Management,Water,25/12/1999|Law passed,Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc1FFIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--62e1b3586f61454892f5a801681eb9e90a226772/f|,,This law creates the Bicameral Commission for the Attention and Monitoring of Natural Disasters caused by Water and/or Climatic Emergencies to propose a regulatory system for water and climate emergencies.
9402,Law 27520 on Minimum Budgets for Adaptation and Mitigation to Global Climate Change,legislative,Argentina,ARG,Adaptation;Mitigation,Adaptation;Mitigation,"Institutional mandates|Governance;Processes, plans and strategies|Governance;MRV|Governance",Law;Act,"",Adaptation;Mitigation;Argentina,Economy-wide,18/12/2019|Law published||,Link to official website|https://www.boletinoficial.gob.ar/detalleAviso/primera/224006/20191220|es,,"This law establishes the minimum budgets for environmental protection to guarantee adequate actions, instruments and strategies for Adaptation and Mitigation to Climate Change. The act aims to establish strategies, measures, policies and instruments related to the study of impact, vulnerability and adaptation activities to Climate Change that can guarantee human and ecosystem development; assist and promote the development of mitigation and reduction strategies for greenhouse gases in the country, among others.<br><br>In addition, it creates the National Cabinet of Climate Change, which will be chaired by the Chief of the Cabinet of Ministers, and whose function will be to articulate between the different areas of government of the National Public Administration, the implementation of the National Plan for Adaptation and Mitigation to Climate Change , and of all those public policies related to the application of the provisions established in the law and its complementary norms.<br><br>The different areas of government must apply, within their respective powers, the resolutions and / or actions that are established within the National Cabinet on Climate Change, and report on the progress and modifications of each project.<br><br>The set of strategies, measures, policies, and instruments developed to comply with the object of this law make up the ""National Plan for Adaptation and Mitigation of Climate Change"", which will be prepared by the Executive Branch. This plan will have, among others, the projection of State policies regarding adaptation and mitigation to climate change for present and future generations; the development of methods and tools to assess impacts and vulnerability, and allow adaptation to climate change in the different socioeconomic sectors and environmental systems of the country.<br><br></div><div><br>"
10656,Tax Reform Act nr. 27.430,legislative,Argentina,ARG,"",Mitigation,Carbon pricing & emissions trading|Economic,Act,"",Carbon Pricing,Energy,29/12/2017|Date Act passed||;01/01/2018|Date Act entered into force||,Text of the Act|https://www.boletinoficial.gob.ar/detalleAviso/primera/176831/20171229|es;Text of the proposed bill|https://www.oecd.org/countries/argentina/taxing-energy-use-argentina.pdf|es,,"In 2017, Argentina introduced the Tax Reform Act n. 27.430 which reformed the country's taxation system relating to energy use. The Act also introduced a Carbon Tax on fossil fuels (Article 10 of the Act), in effect since March 2018, of $10 USD per tCO2e according to OECD <a href=""https://www.oecd.org/countries/argentina/taxing-energy-use-argentina.pdf"">reports</a>.&nbsp; The Carbon Dioxide Tax replaces Chapter rII of Title III of Law 23.966 from 1998. According to the Act, the taxation rates will be updated each year based on variations in the Consumer Price Index (CPI) and the executive branch may&nbsp; increase the taxation rates on liquid fuels by 25%,&nbsp; in accordance with environmental or energy policy considerations. GhG emissions generated by industrial processes, livestock, waste disposal and land use changes are exempted from the carbon tax. Biofuels are also exempted from taxation.&nbsp;"
